tree   x   y   rad   votes   z_min   z_max   points
10   -1.3081   -1.50459   0.1   16   1.9   2.4   277   
10   -1.29395   -1.47827   0.1   20   2.4   2.9   210   
10   -1.29542   -1.45327   0.1   17   2.9   3.4   152   
10   -1.25926   -1.45327   0.1   21   3.4   3.9   89   
10   -1.24177   -1.42827   0.1   19   3.9   4.4   76   
10   -1.23345   -1.40327   0.1   19   4.4   4.9   70   
10   -1.22289   -1.37827   0.1   15   4.9   5.4   64   
10   -1.21869   -1.35327   0.1   16   5.4   5.9   59   
10   -1.21395   -1.30327   0.1   20   5.9   6.4   74   
10   -1.20959   -1.25327   0.1   15   6.4   6.9   57   
10   -1.14999   -1.22827   0.1   16   6.9   7.4   66   
10   -1.17499   -1.20327   0.1   13   7.4   7.9   57   
10   -1.14999   -1.20327   0.1   13   7.9   8.4   54   
10   -1.11609   -1.20327   0.1   16   8.4   8.9   67   
10   -1.09999   -1.20327   0.1   15   8.9   9.4   49   
10   -1.09999   -1.17827   0.1   11   9.4   9.9   50   
10   -1.07499   -1.17827   0.1   13   9.9   10.4   51   
10   -1.07499   -1.17827   0.1   12   10.4   10.9   49   
10   -1.0919   -1.1427   0.1   10   10.9   11.4   58   
10   -1.05629   -1.22195   0.075   9   11.4   11.9   44   
10   -1.04232   -1.20327   0.075   10   11.9   12.4   31   
10   -1.10246   -1.24619   0.075   9   12.4   12.9   51   
10   -1.04999   -1.22827   0.075   7   12.9   13.4   27   
10   -1.03175   -1.16468   0.075   10   13.4   13.9   34   
10   -1.02052   -1.17447   0.075   8   13.9   14.4   54   
10   -1.06414   -1.20073   0.075   8   14.4   14.9   24   
10   -1.04889   -1.20911   0.075   6   14.9   15.4   46   
10   -1.00085   -1.17181   0.075   7   15.4   15.9   37   
10   -1.00494   -1.17589   0.075   7   15.9   16.4   46   
10   -1.09759   -1.15209   0.05   6   16.4   16.9   41   
10   -0.98143   -1.19479   0.075   8   16.9   17.4   46   
10   -1.11412   -1.68949   0.05   6   17.4   17.9   44   
10   -1.07467   -1.24231   0.075   5   17.9   18.4   53   
10   -1.04411   -1.26802   0.075   5   18.4   18.9   38   
10   -1.03215   -1.10483   0.075   6   18.9   19.4   44   
10   -1.95262   -1.60348   0.025   3   19.4   19.9   21   
10   -1.72711   -1.91125   0.05   4   19.9   20.4   60   
10   -1.41534   -1.98481   0.05   4   20.4   20.9   36   
10   -1.69597   -1.56732   0.075   4   20.9   21.4   38   
10   -1.7246   -1.10298   0.05   4   21.4   21.9   18   
10   -1.46649   -1.09608   0.025   3   21.9   22.4   11   
11   -1.21545   7.13866   0.175   28   -0.6   -0.1   242   
11   -1.21914   7.16405   0.175   26   -0.1   0.4   223   
11   -1.2483   7.16405   0.15   22   0.4   0.9   218   
11   -1.2701   7.18832   0.15   27   0.9   1.4   195   
11   -1.28242   7.20625   0.15   23   1.4   1.9   209   
11   -1.27474   7.22433   0.15   25   1.9   2.4   201   
11   -1.24169   7.24228   0.15   31   2.4   2.9   216   
11   -1.25007   7.25291   0.15   29   2.9   3.4   237   
11   -1.21095   7.26233   0.15   21   3.4   3.9   205   
11   -1.2095   7.23879   0.125   27   3.9   4.4   185   
11   -1.21498   7.24003   0.125   26   4.4   4.9   163   
11   -1.19595   7.24786   0.125   24   4.9   5.4   153   
11   -1.21792   7.23539   0.125   25   5.4   5.9   140   
11   -1.21115   7.24799   0.125   27   5.9   6.4   123   
11   -1.20469   7.25325   0.125   25   6.4   6.9   151   
11   -1.21249   7.26747   0.125   23   6.9   7.4   199   
11   -1.22164   7.29394   0.125   20   7.4   7.9   147   
11   -1.22215   7.29014   0.125   22   7.9   8.4   84   
11   -1.21335   7.29476   0.125   20   8.4   8.9   75   
11   -1.21687   7.30528   0.125   17   8.9   9.4   66   
11   -1.22922   7.31437   0.1   15   9.4   9.9   46   
11   -1.22468   7.30745   0.1   13   9.9   10.4   59   
11   -1.21995   7.32529   0.1   10   10.4   10.9   50   
11   -1.17183   7.32172   0.075   11   10.9   11.4   46   
11   -1.26034   7.32172   0.075   9   11.4   11.9   39   
11   -1.26441   7.32858   0.075   8   11.9   12.4   38   
11   -1.24241   7.32172   0.075   11   12.4   12.9   46   
